Institution;;Region;Country;Alumni;Award;HiCi;N.S;PUB;PCP
Harvard ;HU;Americas;US;100;100;100;100;100;69,2
 of California, Berkeley;UC ;Americas;US;67,6;79,3;69;70,9;70,6;54,2
Stanford ;SD;Americas;US;40,2;78,4;87,6;68,4;69,7;50,1
MIT;MIT;Americas;US;70,5;80,3;66,8;70,1;61,4;64,5
 of Cambridge;CAM;Europe;UK;88,5;92,6;53,9;54,3;65,7;53,1
California Institute of Technology;CIT;Americas;US;50,3;68,8;56,7;64,8;46,9;100
Princeton ;PRI;Americas;US;56,4;84,8;61,1;43,3;44,3;65,5
Columbia ;COL;Americas;US;70,7;67,4;56,2;47,6;69,9;32,1
 of Chicago;CHI;Americas;US;65,5;83,9;50,9;39,8;50,5;40
 of Oxford;OX;Europe;UK;56,2;57,6;48,8;49,8;68,5;41,1
Yale ;Y;Americas;US;48,6;44,9;58,5;56,3;62;37
Cornell ;COR;Americas;US;42,3;51,1;54,3;49,9;59,5;38,1
 of California, Los Angeles;CAL;Americas;US;27,2;42,6;56,9;49,2;75,1;31,2
 of California, San Diego;CSD;Americas;US;15,1;35,8;60,2;54,6;65,1;37,9
 of Pennsylvania;UP;Americas;US;32,9;34,3;57,1;46,9;68,6;28,5
 of Washington;UW;Americas;US;24,4;31,7;53,9;51,6;72,5;28,1
 of Wisconsin - Madison;WIS;Americas;US;36,5;35,4;51,9;40,2;66,1;25,7
The Johns Hopkins ;JH;Americas;US;43,6;32,1;42;49,4;64;27,2
 of California, San Francisco;CSF;Americas;US;0;40,1;53,4;51,8;60,7;33,6
The  of Tokyo;TOK;Asia/Pacific;JP;33,3;14,1;42;52;80,4;34,5
 College London;LC;Europe;UK;32,9;32,1;39,4;44,6;67;31,6
 of Michigan - Ann Arbor;MAA;Americas;US;36,5;0;59,8;43,4;79,8;26,3
Swiss Federal Institute of Technology Zurich;SFITZ;Europe;SW;34,1;36,1;36,3;43,6;53,6;47,1
Kyoto ;KYO;Asia/Pacific;JP;33,7;34,7;38,1;36;67,6;31
 of Illinois at Urbana-Champaign;IUC;Americas;US;35,4;36,5;42,6;37,1;58,6;27,8
The Imperial College of Science, Technology and Medicine;ICSTM;Europe;UK;17,7;37,2;41,4;36,9;62,3;33
 of Toronto;TOR;Americas;CA;23,8;19,2;38,8;38,3;80,3;27,9
 of Minnesota, Twin Cities;MTC;Americas;US;30,6;16,2;50,4;36,1;66,6;23,9
Northwestern ;NOR;Americas;US;18,5;18,9;48,3;35,9;59,7;28,4
Washington  in St. Louis;WST;Americas;US;21,3;25,9;38,8;41;54,8;26,7
New York ;NY;Americas;US;32,4;24,4;40,7;36,2;54,4;22,4
 of California, Santa Barbara;CSB;Americas;US;16;35,1;42;33,3;42,6;37,3
 of Colorado at Boulder;CU;Americas;US;14,1;30,7;38,8;41,7;44,7;33,5
Rockefeller ;ROCK;Americas;US;19,2;58,4;28,8;42,3;21;35,6
Duke ;DUK;Americas;US;17,7;0;45,8;42,2;62;24,4
 of British Columbia;BC;Americas;CA;17,7;18,9;32,2;30,8;65,7;23,7
 of Maryland, College Park;MCP;Americas;US;22;19,9;41,4;29;53,6;26,2
The  of Texas at Austin;TA;Americas;US;18,5;16,6;46,1;28,4;54,4;24,7
Pierre and Marie Curie  - Paris 6;PMC;Europe;FR;34,8;23,5;24,9;28,8;59,9;21,9
 of Copenhagen;COP;Europe;DE;26,1;24,1;26;26;56,4;32,3
 of North Carolina at Chapel Hill;NCC;Americas;US;10,7;16,2;39,4;27,7;60,6;23,9
Karolinska Institute;KI;Europe;SE;26,1;27,2;31,4;20,5;49,9;38,1
Pennsylvania State  -  Park;PSP;Americas;US;11,9;0;46,6;37,4;56,1;23,2
The  of Manchester;MAN;Europe;UK;23,2;18,9;27,9;28;59,1;23,1
 of Paris Sud (Paris 11);PS ;Europe;FR;31,7;46;12,5;20,8;49,9;23,6
 of California, Davis;CD;Americas;US;0;0;47,2;31,7;63;26
 of California, Irvine;CI ;Americas;US;0;29,3;36,7;26,3;49,3;26,9
 of Southern California;SC;Americas;US;0;26,7;38,8;26,3;53,1;20
The  of Texas Southwestern Medical Center at Dallas;TSMCD;Americas;US;20,6;33,1;30,5;29,9;38,4;23,5
Utrecht ;UTR;Europe;NL;26,1;20,9;27,9;30,4;48,2;26,1
 of Zurich;ZUR;Europe;SW;10,7;26,7;26,4;28,7;50,6;27
 of Munich;MUN;Europe;GE;31,5;22,8;16,1;26,3;54,5;30,7
Vanderbilt ;VAN;Americas;US;17,7;29,5;31,4;20,2;50,8;19,1
Rutgers, The State  of New Jersey - New Brunswick;NJ;Americas;US;13,1;19,9;40,1;27,9;43,7;23,2
The  of Edinburgh;EDI;Europe;UK;19,2;16,6;26;34,2;51,3;23,9
Technical  Munich;TM;Europe;GE;39,2;23,5;24,9;19,5;46,5;29,2
 of Pittsburgh;PIT;Americas;US;21,3;0;42;23,4;63,1;19
Carnegie Mellon ;CM;Americas;US;32,9;32,7;30,5;15,2;34,2;34,3
The Australian National ;AN;Asia/Pacific;AS;15,1;12,6;36;27,8;43,8;31,1
The Ohio State  - Columbus;OS;Americas;US;15,1;0;41,7;22,8;62;19,1
McGill ;MG;Americas;CA;31,1;0;32,2;22,9;59,6;25,3
 of Melbourne;MEL;Asia/Pacific;AS;19,9;14,1;22,8;18,7;63,1;27
King's College London;KCL;Europe;UK;14,1;23;31,4;16,7;50,7;25
 of Heidelberg;HEI;Europe;GE;16,9;27;17,6;23;50,6;28,6
Brown ;BRO;Americas;US;16;13,6;31,4;29,6;41,9;32,1
 of Bristol;BRI;Europe;UK;9,2;17,8;28,8;29,1;47,3;25,1
Uppsala ;UPP;Europe;SE;22;32,1;14,4;19,9;49,5;26,6
 of Florida;FLO;Americas;US;19,2;0;36,7;20,6;63,9;17,5
Purdue  - West Lafayette;PUR;Americas;US;16;16,6;29,7;22,4;51,8;20,6
Leiden ;LEI;Europe;NL;21,3;15,4;27,9;19,9;47,8;32,4
Ecole Normale Superieure - Paris;ENSP;Europe;FR;50,8;24,4;12,5;18,7;27,9;56,7
The Hebrew  of Jerusalem;HJ;Asia/Pacific;IR;31,5;19,9;24,9;20,8;41,6;26,5
 of Helsinki;HEL;Europe;FI;16;17,8;22,8;20,6;52,7;28,2
Moscow State ;MS;Europe;RU;46,8;34,1;0;9,6;52,4;31,2
Osaka ;OSA;Asia/Pacific;JP;10,7;0;26,9;27,9;60,2;27,8
 of Oslo;OSL;Europe;NW;22;33,3;17,6;13,5;46,6;24,3
Boston ;BOS;Americas;US;13,1;11,5;29,7;24,7;50;19,3
 of Arizona;ARI;Americas;US;0;0;29,7;37,5;52,1;21,6
Stockholm ;STO;Europe;SE;25;29,5;16,1;20,4;37,5;24,2
Nagoya ;NAG;Asia/Pacific;JP;24,4;14,1;16,1;24,3;48,1;26,1
Arizona State  - Tempe;AST;Americas;US;0;19,9;24,9;26,9;44,3;21,1
 of Rochester;ROCH;Americas;US;0;11,5;30,5;27;46,6;19,2
 of Utah;UTA;Americas;US;28,2;8,9;26,9;20,6;43,3;21,9
Tohoku ;TOH;Asia/Pacific;JP;16;0;21,6;20,8;60,3;27,4
 of Nottingham;NOT;Europe;UK;13,1;19,9;23,9;16,1;47,6;20,9
Michigan State ;MICH;Americas;US;10,7;0;37,4;19,1;52,4;18,7
 of Basel;BAS;Europe;SW;22;17;22,8;19,4;36,2;34,5
McMaster ;MM;Americas;CA;14,1;18,9;22,8;14,8;47,3;22,8
The  of Sheffield;SHE;Europe;UK;19,9;14,1;21;21,3;44,3;22,6
Ghent ;GHE;Europe;BE;7,5;15,4;17,6;15,1;54,4;30,4
Indiana  Bloomington;IB;Americas;US;11,9;22,7;24,9;18,5;39,9;19,6
 of Sydney;SYD;Asia/Pacific;AS;16,9;0;20,4;18,4;61,4;25,1
 of Bonn;BONN;Europe;GE;16,9;19,9;14,4;23,3;42,5;24,3
 of Goettingen;GOET;Europe;GE;32,9;19,9;14,4;17,2;40,7;24,3
Texas A&M  - College Station;TAMCS;Americas;US;0;0;34,5;21;54;21
 of Virginia;VIR;Americas;US;0;0;34,5;26,8;47,5;19,5
Case Western Reserve ;CWR;Americas;US;34,5;11,5;21,6;14,3;41,9;22,7
Aarhus ;AAR;Europe;DE;13,1;18,9;7,2;23,5;48,4;25,4
Rice ;RIC;Americas;US;18,5;21,8;21,6;18,8;30,2;29,6
 of Birmingham;BIR;Europe;UK;21,3;10,9;21,6;16,2;46,4;20,7
