NoForm;city;NSE;p5;p6;p7;p16;p17_a;p17_b;p17_c;p17_d;p17_e;p17_f;p17_g;p18;P19;p22_a;p22_b;p22_c;p26
590;Mexico DF;Medio;Masculino;Modalité n° 35;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
144;Mexico DF;Alto;Femenino;Modalité n° 40;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=4_s;p17c_ABAC=2_cn;p17d_FACC=4_s;p17e_AMAC=3_cs;p17f_OLCC=2_cn;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
154;Mexico DF;Alto;Masculino;Modalité n° 41;5 Posgrado;p16_PNOR=5_muypos;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
773;Mexico DF;Medio;Femenino;Modalité n° 44;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=2_cn;p17b_FACL=3_cs;p17c_ABAC=2_cn;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=2_cn;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=4_desac
417;Mexico DF;Alto;Masculino;Modalité n° 40;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
889;Mexico DF;Alto;Masculino;Modalité n° 40;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
146;Mexico DF;Alto;Masculino;Modalité n° 38;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=2_cn;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
235;Mexico DF;Alto;Masculino;Modalité n° 41;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=3_cs;p17f_OLCC=2_cn;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
318;Mexico DF;Medio;Femenino;Modalité n° 39;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=4_s;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
361;Mexico DF;Alto;Masculino;Modalité n° 39;5 Posgrado;p16_PNOR=5_muypos;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=3_cs;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=2_acu
713;Mexico DF;Medio;Masculino;Modalité n° 74;5 Posgrado;p16_PNOR=2_neg;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=2_cn;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=4_desac
938;Mexico DF;Bajo;Masculino;Modalité n° 51;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=3_cs;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=1_n;p17f_OLCC=4_s;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
1316;Mexico DF;Alto;Masculino;Modalité n° 39;5 Posgrado;p16_PNOR=4_posi;p17a_ACL=2_cn;p17b_FACL=2_cn;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=2_acu
