Acronimo;Region;Nombre_Univ;DTCP09;DTCE09;DTCM09;DTCD09;MPRE09;MPOS09;GPRE09;GPOS09;ECAES09;ECAINGL09
LLAN;Ama_Orinoq;DE LOS LLANOS;53,65;126,12;79,57;13,5;5592;150;405;51;230;19
AMAZ;Ama_Orinoq;DE LA AMAZONÍA;56,6;99,47;86,73;12,5;6572;255;707;154;118;8
UIS;And_centro;INDUSTRIAL DE SANTANDER;148,89;123,07;304,61;134,71;19964;1464;3467;57;1193;409
PAMP;Andina_C;DE PAMPLONA;260,45;277,7;206,67;68,61;31459;1400;3350;1275;294;28
UPTC;Andina_C;PEDAGÓGICA Y TECNOLÓGICA DE COLOMBIA;196,96;419,21;434,36;61,38;22954;1838;1546;491;708;73
DIST;Andina_C;DISTRITAL FRANCISCO JOSÉ DE CALDAS;327,19;280,7;371,93;39,41;27767;1586;2595;401;1482;396
TOLI;Andina_C;DEL TOLIMA;71,28;151,18;121,94;38,29;22579;861;2748;730;984;101
UMIL;Andina_C;MILITAR NUEVA GRANADA;63,88;164,17;157,33;27,82;9950;1648;843;761;250;134
UPN;Andina_C;PEDAGÓGICA NACIONAL;182,16;139,38;254,15;25,91;9070;1979;1309;295;451;127
SURC;Andina_C;SURCOLOMBIANA;41,73;118,19;183,6;22,01;8572;663;612;192;459;81
FPSO;Andina_C;FRANCISCO DE PAULA SANTANDER - OCAÑA;41,29;22,46;3,64;16,75;3489;54;298;74;61;0
FPSC;Andina_C;FRANCISCO DE PAULA SANTANDER - CÚCUTA;108,74;120,46;81,59;8,38;19048;875;1409;25;440;27
CUND;Andina_C;UNI DE CUNDINAMARCA;131,3;213,01;86;2,5;9577;267;1032;0;153;6
CMCU;Andina_C;COL MAYOR DE CUNDINAMARCA;45,55;118,24;98,11;2,35;4740;192;926;189;175;8
UNAB;Andina_C;NACIONAL ABIERTA Y A DISTANCIA;362,54;326,02;84,28;1,63;52648;1236;3753;128;398;30
UTP;Andina_O;TECNOLÓGICA DE PEREIRA;152,68;86,11;289,22;57,44;13392;1175;971;191;359;158
UCAL;Andina_O;DE CALDAS;193,53;132,17;232,7;47,5;11327;804;1410;242;360;94
QUIN;Andina_O;DEL QUINDIO;206,08;93,79;155,95;30,8;12356;82;1223;9;403;93
CART;Caribe;DE CARTAGENA;92,86;245,39;256,07;34,2;11952;810;1212;264;535;113
ATLA;Caribe;DEL ATLÁNTICO;86,34;152,26;220,55;34,09;13437;188;1369;0;376;155
UCOR;Caribe;DE CÓRDOBA;123,81;122,59;139,1;21,5;11058;2;1113;0;190;54
MAGD;Caribe;DEL MAGDALENA;71,75;134,57;161,91;19,08;13085;459;1179;80;236;56
GUAJ;Caribe;DE LA GUAJIRA;84,74;97,52;67,36;7,76;7555;87;400;0;41;3
SUCR;Caribe;DE SUCRE;35,52;88,15;55,15;6,94;4715;0;501;0;198;5
CESA;Caribe;POPULAR DEL CESAR;436,75;12,29;48,23;6,25;13221;0;322;0;267;23
CAUC;Pacifica;DEL CAUCA;106,59;190,96;330,4;55,02;12712;375;1252;220;713;126
NARI;Pacifica;DE NARIÑO;69,53;113,3;133,92;34,5;9000;471;495;103;363;50
CHOC;Pacifica;TECNOLÓGICA DEL CHOCÓ;50,43;199,78;110;9;9553;0;375;2;35;6
PACI;Pacifica;DEL PACÍFICO;68,21;27,5;14,25;1;2323;0;124;0;18;2
